StkID,Year,Catch,Spn
12,1965,1740,981
12,1966,38775,31343
12,1967,52117,4281
12,1968,501,86
12,1969,2356,963
12,1970,26831,3873
12,1971,4027,281
12,1972,970,190
12,1973,26780,3993
12,1974,48225,8526
12,1975,12637,3175
12,1976,12295,1042
12,1977,72607,8089
12,1978,30724,9978
12,1979,11380,3575
12,1980,5460,1800
12,1981,32626,5855
12,1982,76854,23867
12,1983,54623,7747
12,1984,10532,1710
12,1985,13696,2297
12,1986,187871,14291
12,1987,41631,6860
12,1988,23388,1068
12,1989,41427,7900
12,1990,48802,19948
12,1991,52392,12053
12,1992,14470,2706
12,1993,171117,19760
12,1994,54205,9270
12,1995,8493,7875
12,1996,5061.698951,3422
12,1997,154228.5026,9766
12,1998,20053.27605,25179
12,1999,5369.596675,6475
12,2000,55948.23352,1496
12,2001,8421.119052,3150
12,2002,3359.746735,14953
12,2003,3554.14553,4940
12,2004,6580.32311,1287
12,2005,6503.183415,12082
12,2006,18919.48615,18882
12,2007,955.006459,1699
12,2008,2099.618271,97
12,2009,233.2910492,1945
12,2010,89978.15488,58086
12,2011,1298.172498,1821
11,1952,19987,17833
11,1953,29029,11543
11,1954,79628,22036
11,1955,143195,25922
11,1956,23808,13718
11,1957,53208,20375
11,1958,49162,13324
11,1959,234701,47779
11,1960,22304,17640
11,1961,14395,13396
11,1962,20536,26997
11,1963,31541,20303
11,1964,13722,11067
11,1965,4349,2455
11,1966,18564,16919
11,1967,98802,33198
11,1968,45539,25314
11,1969,16011,5942
11,1970,26138,13941
11,1971,87978,9128
11,1972,38639,10366
11,1973,4390,641
11,1974,35813,8984
11,1975,36735,11349
11,1976,26410,4435
11,1977,401,82
11,1978,22364,5076
11,1979,77620,32031
11,1980,4719,1657
11,1981,1201,256
11,1982,52386,16725
11,1983,87952,19944
11,1984,5882,994
11,1985,541,424
11,1986,9163,3256
11,1987,68537,32184
11,1988,8924,861
11,1989,1679,418
11,1990,8540,1860
11,1991,44762,20157
11,1992,6298,1203
11,1993,9808,1063
11,1994,18844,4399
11,1995,9026,10316
11,1996,430.2381847,2022
11,1997,845.9795906,88
11,1998,339.5514618,1959
11,1999,1763.346381,12403
11,2000,804.8186013,1227
11,2001,184.1452446,515
11,2002,816.2195427,5149
11,2003,701.3876357,2184
11,2004,31.30628213,90
11,2005,26.82357806,193
11,2006,1254.404901,3785
11,2007,133.4627772,689
